# BILATERAL ANCHORING, real HG002 reads, chr20:2,999,001-3,601,000, 28.9x.
# 117,565 real reads from the GIAB 300x Illumina BAM. Archive LOSSLESS.
#
# MECHANISM. The published probe is 40 bp of reference ending 5 bp BEFORE the
# variant, so it anchors upstream only. The pseudogenome is built by greedy
# overlap chaining, so a contig's neighbourhood is an artefact of which reads
# overlapped rather than the genomic neighbourhood. When chaining breaks the
# upstream side the alternate contig is unreachable at ANY tolerance -- measured:
# upstream anchors at 0 of 6 failing sites, downstream at 5 of 6.
# Fix: union the occurrences of an upstream and a downstream reference window.
# Neither window contains the variant, so neither can rig the result.
#
# INTERNAL CONTROL: the "upstream_only" row below is 391, identical to the
# v2 scorer's 391 on the same data. The scorer's best-overlap assignment change
# is therefore NEUTRAL on that arm, and the gain to 400 comes from bilateral
# anchoring rather than from the scoring edit.

set,n,anchoring,both,one,neither
HG002_REAL_READS,400,upstream_only,391,9,0
HG002_REAL_READS,400,downstream_only,394,4,2
HG002_REAL_READS,400,bilateral_union,400,0,0
NEGATIVE_CONTROL,400,upstream_only,21,379,0
NEGATIVE_CONTROL,400,downstream_only,21,378,1
NEGATIVE_CONTROL,400,bilateral_union,31,369,0

# allele balance, bilateral arm
set,ref_reads,alt_reads,ratio
HG002_REAL_READS,37467,38117,1.02
NEGATIVE_CONTROL,38783,444,0.01

# SUPPORT THRESHOLD SWEEP -- does 400/400 survive a stricter rule while the
# false positives die? If both moved together it would be metric-gaming.
rule,het_both,homozygous_both,separation
minor_allele_ge_1_read,400,31,369
minor_allele_ge_2_reads,400,22,378
minor_allele_ge_3_reads,399,14,385
minor_allele_ge_4_reads,399,10,389
minor_allele_ge_5_reads,397,9,388
minor_allele_fraction_ge_0.05,390,6,384
minor_allele_fraction_ge_0.10,376,3,373
minor_allele_fraction_ge_0.15,364,2,362
minor_allele_fraction_ge_0.20,352,2,350

# minor-allele fraction distribution -- effectively disjoint
set,p5,p25,median,p75,p95
het,0.088,0.306,0.403,0.456,0.491
homozygous,0.000,0.000,0.000,0.000,0.006

# EFFICIENCY: multi-probe in one invocation. Bilateral doubles the probe count,
# and each invocation reloaded the sidecar, re-decoded placements and rebuilt
# the haystack. `query` now accepts comma-separated probes and does that once.
# Verified an EFFICIENCY change only: occurrence sets identical on 100/100 sites.
mode,sites,probes_each,wall_s,peak_rss_kb
two_invocations,100,2,13.49,9216
one_invocation,100,2,8.80,9216
# 1.53x faster at identical peak memory
